bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta*gamma_gamma (fb/(MeV sr2)),D5_sigma,D5_sigma_stat_plus,D5_sigma_stat_minus,D5_sigma_sys_plus,D5_sigma_sys_minus,link
,,1,,,0.99,15,,,,,,-0.65,4710,1720,1720,565,565,https://doi.org/10.1103/PhysRevC.79.015201
,,1,,,1.01,15,,,,,,-0.65,2760,1140,1140,430,430,
,,1,,,1.03,15,,,,,,-0.65,,,,,,
,,1,,,1.05,15,,,,,,-0.65,,,,,,
,,1,,,1.07,15,,,,,,-0.65,,,,,,
,,1,,,1.09,15,,,,,,-0.65,,,,,,
,,1,,,1.11,15,,,,,,-0.65,462,181,181,270,270,
,,1,,,1.13,15,,,,,,-0.65,131,69,69,97,97,
,,1,,,1.15,15,,,,,,-0.65,134,57,57,65,65,
,,1,,,1.17,15,,,,,,-0.65,196,52,52,3,3,
,,1,,,1.19,15,,,,,,-0.65,,,,,,
,,1,,,1.21,15,,,,,,-0.65,,,,,,
,,1,,,1.23,15,,,,,,-0.65,,,,,,
,,1,,,1.25,15,,,,,,-0.65,,,,,,
,,1,,,1.27,15,,,,,,-0.65,,,,,,
,,1,,,1.29,15,,,,,,-0.65,,,,,,
,,1,,,1.31,15,,,,,,-0.65,,,,,,
,,1,,,1.33,15,,,,,,-0.65,,,,,,
,,1,,,1.35,15,,,,,,-0.65,,,,,,
,,1,,,1.37,15,,,,,,-0.65,,,,,,
,,1,,,1.39,15,,,,,,-0.65,,,,,,
,,1,,,1.41,15,,,,,,-0.65,,,,,,
,,1,,,1.43,15,,,,,,-0.65,,,,,,
,,1,,,0.99,45,,,,,,-0.65,1400,552,552,135,135,
,,1,,,1.01,45,,,,,,-0.65,237,109,109,55,55,
,,1,,,1.03,45,,,,,,-0.65,277,94,94,63,63,
,,1,,,1.05,45,,,,,,-0.65,65,36,36,19,19,
,,1,,,1.07,45,,,,,,-0.65,266,59,59,12,12,
,,1,,,1.09,45,,,,,,-0.65,189,44,44,18,18,
,,1,,,1.11,45,,,,,,-0.65,195,41,41,9,9,
,,1,,,1.13,45,,,,,,-0.65,92,26,26,9,9,
,,1,,,1.15,45,,,,,,-0.65,132,27,27,13,13,
,,1,,,1.17,45,,,,,,-0.65,107,22,22,24,24,
,,1,,,1.19,45,,,,,,-0.65,154,25,25,22,22,
,,1,,,1.21,45,,,,,,-0.65,104,19,19,16,16,
,,1,,,1.23,45,,,,,,-0.65,108,19,19,12,12,
,,1,,,1.25,45,,,,,,-0.65,107,20,20,11,11,
,,1,,,1.27,45,,,,,,-0.65,51,17,17,6,6,
,,1,,,1.29,45,,,,,,-0.65,77,19,19,23,23,
,,1,,,1.31,45,,,,,,-0.65,60,16,16,16,16,
,,1,,,1.33,45,,,,,,-0.65,62,16,16,4,4,
,,1,,,1.35,45,,,,,,-0.65,59,18,18,11,11,
,,1,,,1.37,45,,,,,,-0.65,,,,,,
,,1,,,1.39,45,,,,,,-0.65,,,,,,
,,1,,,1.41,45,,,,,,-0.65,,,,,,
,,1,,,1.43,45,,,,,,-0.65,554,216,216,88,88,
,,1,,,0.99,75,,,,,,-0.65,380,87,87,71,71,
,,1,,,1.01,75,,,,,,-0.65,270,50,50,18,18,
,,1,,,1.03,75,,,,,,-0.65,234,41,41,12,12,
