bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta*gamma_gamma (fb/(MeV sr2)),D5_sigma,D5_sigma_stat_plus,D5_sigma_stat_minus,D5_sigma_sys_plus,D5_sigma_sys_minus,link
,,1,,,0.99,15,,,,,,-0.875,,,,,,https://doi.org/10.1103/PhysRevC.79.015201
,,1,,,1.01,15,,,,,,-0.875,,,,,,
,,1,,,1.03,15,,,,,,-0.875,65,27,27,14,14,
,,1,,,1.05,15,,,,,,-0.875,,,,,,
,,1,,,1.07,15,,,,,,-0.875,,,,,,
,,1,,,1.09,15,,,,,,-0.875,,,,,,
,,1,,,1.11,15,,,,,,-0.875,30,15,15,7,7,
,,1,,,1.13,15,,,,,,-0.875,30,14,14,5,5,
,,1,,,1.15,15,,,,,,-0.875,59,20,20,3,3,
,,1,,,1.17,15,,,,,,-0.875,31,14,14,8,8,
,,1,,,1.19,15,,,,,,-0.875,130,28,28,26,26,
,,1,,,1.21,15,,,,,,-0.875,103,21,21,11,11,
,,1,,,1.23,15,,,,,,-0.875,129,21,21,8,8,
,,1,,,1.25,15,,,,,,-0.875,99,17,17,6,6,
,,1,,,1.27,15,,,,,,-0.875,54,13,13,7,7,
,,1,,,1.29,15,,,,,,-0.875,35,11,11,5,5,
,,1,,,1.31,15,,,,,,-0.875,29,10,10,5,5,
,,1,,,1.33,15,,,,,,-0.875,29.3,8.5,8.5,2.5,2.5,
,,1,,,1.35,15,,,,,,-0.875,10.4,5,5,7.7,7.7,
,,1,,,1.37,15,,,,,,-0.875,24,9.9,9.9,5.9,5.9,
,,1,,,1.39,15,,,,,,-0.875,,,,,,
,,1,,,1.41,15,,,,,,-0.875,12,10,10,13,13,
,,1,,,1.43,15,,,,,,-0.875,28.6,8,8,6.1,6.1,
,,1,,,1.45,15,,,,,,-0.875,27.8,6.5,6.5,4,4,
,,1,,,1.47,15,,,,,,-0.875,,,,,,
,,1,,,1.49,15,,,,,,-0.875,,,,,,
,,1,,,1.51,15,,,,,,-0.875,,,,,,
,,1,,,1.53,15,,,,,,-0.875,,,,,,
,,1,,,1.55,15,,,,,,-0.875,,,,,,
,,1,,,1.57,15,,,,,,-0.875,,,,,,
,,1,,,1.59,15,,,,,,-0.875,,,,,,
,,1,,,1.61,15,,,,,,-0.875,,,,,,
,,1,,,1.63,15,,,,,,-0.875,,,,,,
,,1,,,1.65,15,,,,,,-0.875,,,,,,
,,1,,,1.67,15,,,,,,-0.875,,,,,,
,,1,,,1.69,15,,,,,,-0.875,,,,,,
,,1,,,0.99,45,,,,,,-0.875,548,306,306,112,112,
,,1,,,1.01,45,,,,,,-0.875,230,94,94,94,94,
,,1,,,1.03,45,,,,,,-0.875,186,60,60,26,26,
,,1,,,1.05,45,,,,,,-0.875,144,43,43,13,13,
,,1,,,1.07,45,,,,,,-0.875,124,34,34,18,18,
,,1,,,1.09,45,,,,,,-0.875,115,29,29,10,10,
,,1,,,1.11,45,,,,,,-0.875,69,20,20,4,4,
,,1,,,1.13,45,,,,,,-0.875,85,20,20,8,8,
,,1,,,1.15,45,,,,,,-0.875,45,13,13,12,12,
,,1,,,1.17,45,,,,,,-0.875,43,14,14,15,15,
,,1,,,1.19,45,,,,,,-0.875,118,18,18,8,8,
,,1,,,1.21,45,,,,,,-0.875,124,19,19,7,7,
,,1,,,1.23,45,,,,,,-0.875,117,18,18,6,6,
,,1,,,1.25,45,,,,,,-0.875,95,17,17,6,6,
,,1,,,1.27,45,,,,,,-0.875,61,13,13,14,14,
,,1,,,1.29,45,,,,,,-0.875,41,10,10,9,9,
,,1,,,1.31,45,,,,,,-0.875,51,10,10,5,5,
,,1,,,1.33,45,,,,,,-0.875,44,10,10,4,4,
,,1,,,1.35,45,,,,,,-0.875,28.9,9.7,9.7,4.6,4.6,
,,1,,,1.37,45,,,,,,-0.875,57,12,12,4,4,
,,1,,,1.39,45,,,,,,-0.875,42.1,7.5,7.5,7.4,7.4,
,,1,,,1.41,45,,,,,,-0.875,21.3,4.8,4.8,7.8,7.8,
,,1,,,1.43,45,,,,,,-0.875,32.1,5.7,5.7,4.2,4.2,
,,1,,,1.45,45,,,,,,-0.875,36.9,7.3,7.3,8.8,8.8,
,,1,,,1.47,45,,,,,,-0.875,44,11,11,8,8,
,,1,,,1.49,45,,,,,,-0.875,47,14,14,14,14,
,,1,,,1.51,45,,,,,,-0.875,38,10,10,6,6,
,,1,,,1.53,45,,,,,,-0.875,40,11,11,6,6,
,,1,,,1.55,45,,,,,,-0.875,30,13,13,16,16,
,,1,,,1.57,45,,,,,,-0.875,,,,,,
,,1,,,1.59,45,,,,,,-0.875,15.5,7.3,7.3,9.9,9.9,
,,1,,,1.61,45,,,,,,-0.875,12.8,6.7,6.7,6.5,6.5,
,,1,,,1.63,45,,,,,,-0.875,,,,,,
,,1,,,1.65,45,,,,,,-0.875,,,,,,
,,1,,,1.67,45,,,,,,-0.875,,,,,,
,,1,,,1.69,45,,,,,,-0.875,,,,,,
,,1,,,0.99,75,,,,,,-0.875,362,159,159,75,75,
,,1,,,1.01,75,,,,,,-0.875,320,75,75,54,54,
,,1,,,1.03,75,,,,,,-0.875,263,48,48,33,33,
,,1,,,1.05,75,,,,,,-0.875,204,35,35,23,23,
,,1,,,1.07,75,,,,,,-0.875,87,19,19,9,9,
,,1,,,1.09,75,,,,,,-0.875,143,23,23,9,9,
,,1,,,1.11,75,,,,,,-0.875,106,18,18,8,8,
,,1,,,1.13,75,,,,,,-0.875,82,14,14,6,6,
,,1,,,1.15,75,,,,,,-0.875,133,19,19,9,9,
,,1,,,1.17,75,,,,,,-0.875,110,17,17,5,5,
,,1,,,1.19,75,,,,,,-0.875,123,17,17,11,11,
,,1,,,1.21,75,,,,,,-0.875,135,17,17,5,5,
,,1,,,1.23,75,,,,,,-0.875,135,16,16,9,9,
,,1,,,1.25,75,,,,,,-0.875,99,13,13,7,7,
,,1,,,1.27,75,,,,,,-0.875,87,13,13,5,5,
,,1,,,1.29,75,,,,,,-0.875,47,10,10,4,4,
,,1,,,1.31,75,,,,,,-0.875,49.2,9,9,3.1,3.1,
,,1,,,1.33,75,,,,,,-0.875,35,6.6,6.6,4.3,4.3,
,,1,,,1.35,75,,,,,,-0.875,31.2,5.4,5.4,3.3,3.3,
,,1,,,1.37,75,,,,,,-0.875,45,6.3,6.3,4.1,4.1,
,,1,,,1.39,75,,,,,,-0.875,35.9,6.2,6.2,2.3,2.3,
,,1,,,1.41,75,,,,,,-0.875,30.8,6.9,6.9,1.8,1.8,
,,1,,,1.43,75,,,,,,-0.875,27.6,8,8,6.6,6.6,
,,1,,,1.45,75,,,,,,-0.875,31.3,8.6,8.6,5.5,5.5,
,,1,,,1.47,75,,,,,,-0.875,25,7,7,10,10,
,,1,,,1.49,75,,,,,,-0.875,46,10,10,6,6,
