bin,k,q_squared,t,x_b,w,phi,cos_theta*gamma_gamma,D2_sigma_d_omega (nb/sr),D2_sigma_d_omega_stat_plus,D2_sigma_d_omega_stat_minus,D2_sigma_d_omega_sys_plus,D2_sigma_d_omega_sys_minus,link
,,1.125,,,1.45,105,-0.975,315,24,24,12.6,12.6,
,,1.125,,,1.45,135,-0.975,382,28,28,15.28,15.28,
,,1.125,,,1.45,165,-0.975,461,42,42,18.44,18.44,
,,2.05,,,1.45,15,-0.975,,,,,,
,,2.05,,,1.45,45,-0.975,,,,,,
,,2.05,,,1.45,75,-0.975,,,,,,
,,2.05,,,1.45,105,-0.975,,,,,,
,,2.05,,,1.45,135,-0.975,,,,,,
,,2.05,,,1.45,165,-0.975,267,186,186,10.68,10.68,
,,2.15,,,1.45,15,-0.975,,,,,,
,,2.15,,,1.45,45,-0.975,314,146,146,12.56,12.56,
,,2.15,,,1.45,75,-0.975,103,26,26,4.12,4.12,
,,2.15,,,1.45,105,-0.975,91,16,16,3.64,3.64,
,,2.15,,,1.45,135,-0.975,130,18,18,5.2,5.2,
,,2.15,,,1.45,165,-0.975,164,21,21,6.56,6.56,
,,2.25,,,1.45,15,-0.975,,,,,,
,,2.25,,,1.45,45,-0.975,,,,,,
,,2.25,,,1.45,75,-0.975,,,,,,
,,2.25,,,1.45,105,-0.975,124,49,49,4.96,4.96,
,,2.25,,,1.45,135,-0.975,71,35,35,2.84,2.84,
,,2.25,,,1.45,165,-0.975,96,44,44,3.84,3.84,
,,0.7,,,1.47,15,-0.975,,,,,,
,,0.7,,,1.47,45,-0.975,,,,,,
,,0.7,,,1.47,75,-0.975,,,,,,
,,0.7,,,1.47,105,-0.975,497,87,87,19.88,19.88,
,,0.7,,,1.47,135,-0.975,525,43,43,21,21,
,,0.7,,,1.47,165,-0.975,663,51,51,26.52,26.52,
,,0.767,,,1.47,15,-0.975,,,,,,
,,0.767,,,1.47,45,-0.975,,,,,,
,,0.767,,,1.47,75,-0.975,,,,,,
,,0.767,,,1.47,105,-0.975,272,95,95,10.88,10.88,
,,0.767,,,1.47,135,-0.975,475,63,63,19,19,
,,0.767,,,1.47,165,-0.975,653,91,91,26.12,26.12,
,,0.875,,,1.47,15,-0.975,209,23,23,8.36,8.36,
,,0.875,,,1.47,45,-0.975,166,17,17,6.64,6.64,
,,0.875,,,1.47,75,-0.975,209,21,21,8.36,8.36,
,,0.875,,,1.47,105,-0.975,483,308,308,19.32,19.32,
,,0.875,,,1.47,135,-0.975,,,,,,
,,0.875,,,1.47,165,-0.975,,,,,,
,,0.925,,,1.47,15,-0.975,120,15,15,4.8,4.8,
,,0.925,,,1.47,45,-0.975,167,15,15,6.68,6.68,
,,0.925,,,1.47,75,-0.975,236,23,23,9.44,9.44,
,,0.925,,,1.47,105,-0.975,918,770,770,36.72,36.72,
,,0.925,,,1.47,135,-0.975,,,,,,
,,0.925,,,1.47,165,-0.975,,,,,,
,,0.975,,,1.47,15,-0.975,174,19,19,6.96,6.96,
,,0.975,,,1.47,45,-0.975,220,19,19,8.8,8.8,
,,0.975,,,1.47,75,-0.975,257,28,28,10.28,10.28,
,,0.975,,,1.47,105,-0.975,194,84,84,7.76,7.76,
,,0.975,,,1.47,135,-0.975,402,104,104,16.08,16.08,
,,0.975,,,1.47,165,-0.975,299,104,104,11.96,11.96,
,,1.025,,,1.47,15,-0.975,154,22,22,6.16,6.16,
,,1.025,,,1.47,45,-0.975,235,23,23,9.4,9.4,
,,1.025,,,1.47,75,-0.975,225,23,23,9,9,
,,1.025,,,1.47,105,-0.975,334,26,26,13.36,13.36,
,,1.025,,,1.47,135,-0.975,411,34,34,16.44,16.44,
,,1.025,,,1.47,165,-0.975,523,53,53,20.92,20.92,
,,1.075,,,1.47,15,-0.975,138,51,51,5.52,5.52,
,,1.075,,,1.47,45,-0.975,179,41,41,7.16,7.16,
,,1.075,,,1.47,75,-0.975,229,25,25,9.16,9.16,
,,1.075,,,1.47,105,-0.975,295,20,20,11.8,11.8,
,,1.075,,,1.47,135,-0.975,439,31,31,17.56,17.56,
,,1.075,,,1.47,165,-0.975,642,59,59,25.68,25.68,
,,1.125,,,1.47,15,-0.975,84,66,66,3.36,3.36,
,,1.125,,,1.47,45,-0.975,191,50,50,7.64,7.64,
,,1.125,,,1.47,75,-0.975,223,26,26,8.92,8.92,
,,1.125,,,1.47,105,-0.975,320,23,23,12.8,12.8,
,,1.125,,,1.47,135,-0.975,502,44,44,20.08,20.08,
,,1.125,,,1.47,165,-0.975,523,66,66,20.92,20.92,
,,2.05,,,1.47,15,-0.975,,,,,,
,,2.05,,,1.47,45,-0.975,,,,,,
,,2.05,,,1.47,75,-0.975,33,19,19,1.32,1.32,
,,2.05,,,1.47,105,-0.975,94,24,24,3.76,3.76,
,,2.05,,,1.47,135,-0.975,206,35,35,8.24,8.24,
,,2.05,,,1.47,165,-0.975,178,32,32,7.12,7.12,
,,2.15,,,1.47,15,-0.975,35,21,21,1.4,1.4,
,,2.15,,,1.47,45,-0.975,78,24,24,3.12,3.12,
,,2.15,,,1.47,75,-0.975,65,12,12,2.6,2.6,
,,2.15,,,1.47,105,-0.975,134,15,15,5.36,5.36,
,,2.15,,,1.47,135,-0.975,165,18,18,6.6,6.6,
,,2.15,,,1.47,165,-0.975,189,23,23,7.56,7.56,
,,2.25,,,1.47,15,-0.975,,,,,,
,,2.25,,,1.47,45,-0.975,,,,,,
,,2.25,,,1.47,75,-0.975,108,68,68,4.32,4.32,
,,2.25,,,1.47,105,-0.975,447,209,209,17.88,17.88,
,,2.25,,,1.47,135,-0.975,102,73,73,4.08,4.08,
,,2.25,,,1.47,165,-0.975,,,,,,
,,0.633,,,1.49,15,-0.975,,,,,,
,,0.633,,,1.49,45,-0.975,,,,,,
,,0.633,,,1.49,75,-0.975,,,,,,
,,0.633,,,1.49,105,-0.975,530,69,69,21.2,21.2,
,,0.633,,,1.49,135,-0.975,667,66,66,26.68,26.68,
,,0.633,,,1.49,165,-0.975,802,88,88,32.08,32.08,
,,0.7,,,1.49,15,-0.975,,,,,,
,,0.7,,,1.49,45,-0.975,,,,,,
,,0.7,,,1.49,75,-0.975,,,,,,
,,0.7,,,1.49,105,-0.975,528,35,35,21.12,21.12,
,,0.7,,,1.49,135,-0.975,605,30,30,24.2,24.2,
,,0.7,,,1.49,165,-0.975,695,43,43,27.8,27.8,
,,0.767,,,1.49,15,-0.975,,,,,,
,,0.767,,,1.49,45,-0.975,,,,,,
,,0.767,,,1.49,75,-0.975,,,,,,
,,0.767,,,1.49,105,-0.975,451,74,74,18.04,18.04,
,,0.767,,,1.49,135,-0.975,488,65,65,19.52,19.52,
,,0.767,,,1.49,165,-0.975,440,95,95,17.6,17.6,
,,0.875,,,1.49,15,-0.975,164,15,15,6.56,6.56,
,,0.875,,,1.49,45,-0.975,198,16,16,7.92,7.92,
,,0.875,,,1.49,75,-0.975,283,33,33,11.32,11.32,
,,0.875,,,1.49,105,-0.975,,,,,,
,,0.875,,,1.49,135,-0.975,,,,,,
,,0.875,,,1.49,165,-0.975,,,,,,
,,0.925,,,1.49,15,-0.975,145,15,15,5.8,5.8,
,,0.925,,,1.49,45,-0.975,209,18,18,8.36,8.36,
,,0.925,,,1.49,75,-0.975,260,39,39,10.4,10.4,
,,0.925,,,1.49,105,-0.975,344,109,109,13.76,13.76,
,,0.925,,,1.49,135,-0.975,969,270,270,38.76,38.76,
,,0.925,,,1.49,165,-0.975,436,201,201,17.44,17.44,
,,0.975,,,1.49,15,-0.975,145,17,17,5.8,5.8,
,,0.975,,,1.49,45,-0.975,230,20,20,9.2,9.2,
,,0.975,,,1.49,75,-0.975,231,22,22,9.24,9.24,
,,0.975,,,1.49,105,-0.975,363,27,27,14.52,14.52,
,,0.975,,,1.49,135,-0.975,510,51,51,20.4,20.4,
,,0.975,,,1.49,165,-0.975,544,77,77,21.76,21.76,
,,1.025,,,1.49,15,-0.975,146,31,31,5.84,5.84,
,,1.025,,,1.49,45,-0.975,155,24,24,6.2,6.2,
,,1.025,,,1.49,75,-0.975,272,20,20,10.88,10.88,
,,1.025,,,1.49,105,-0.975,327,21,21,13.08,13.08,
,,1.025,,,1.49,135,-0.975,485,44,44,19.4,19.4,
,,1.025,,,1.49,165,-0.975,437,64,64,17.48,17.48,
,,1.075,,,1.49,15,-0.975,132,33,33,5.28,5.28,
,,1.075,,,1.49,45,-0.975,151,27,27,6.04,6.04,
,,1.075,,,1.49,75,-0.975,245,19,19,9.8,9.8,
,,1.075,,,1.49,105,-0.975,354,23,23,14.16,14.16,
,,1.075,,,1.49,135,-0.975,351,44,44,14.04,14.04,
,,1.075,,,1.49,165,-0.975,460,80,80,18.4,18.4,
,,1.125,,,1.49,15,-0.975,128,33,33,5.12,5.12,
,,1.125,,,1.49,45,-0.975,133,26,26,5.32,5.32,
,,1.125,,,1.49,75,-0.975,248,22,22,9.92,9.92,
,,1.125,,,1.49,105,-0.975,375,29,29,15,15,
,,1.125,,,1.49,135,-0.975,427,55,55,17.08,17.08,
,,1.125,,,1.49,165,-0.975,304,50,50,12.16,12.16,
,,1.95,,,1.49,15,-0.975,,,,,,
,,1.95,,,1.49,45,-0.975,,,,,,
,,1.95,,,1.49,75,-0.975,,,,,,
,,1.95,,,1.49,105,-0.975,,,,,,
,,1.95,,,1.49,135,-0.975,543,324,324,21.72,21.72,
,,1.95,,,1.49,165,-0.975,,,,,,
,,2.05,,,1.49,15,-0.975,,,,,,
,,2.05,,,1.49,45,-0.975,52,19,19,2.08,2.08,
,,2.05,,,1.49,75,-0.975,70,13,13,2.8,2.8,
,,2.05,,,1.49,105,-0.975,98,13,13,3.92,3.92,
,,2.05,,,1.49,135,-0.975,145,17,17,5.8,5.8,
,,2.05,,,1.49,165,-0.975,218,25,25,8.72,8.72,
,,2.15,,,1.49,15,-0.975,34,15,15,1.36,1.36,
,,2.15,,,1.49,45,-0.975,68,16,16,2.72,2.72,
,,2.15,,,1.49,75,-0.975,88,12,12,3.52,3.52,
,,2.15,,,1.49,105,-0.975,97,13,13,3.88,3.88,
,,2.15,,,1.49,135,-0.975,154,22,22,6.16,6.16,
,,2.15,,,1.49,165,-0.975,135,28,28,5.4,5.4,
,,0.567,,,1.51,15,-0.975,706,555,555,28.24,28.24,
,,0.567,,,1.51,45,-0.975,426,351,351,17.04,17.04,
,,0.567,,,1.51,75,-0.975,679,187,187,27.16,27.16,
,,0.567,,,1.51,105,-0.975,664,136,136,26.56,26.56,
,,0.567,,,1.51,135,-0.975,878,179,179,35.12,35.12,
,,0.567,,,1.51,165,-0.975,1020,276,276,40.8,40.8,
,,0.633,,,1.51,15,-0.975,410,173,173,16.4,16.4,
,,0.633,,,1.51,45,-0.975,495,146,146,19.8,19.8,
,,0.633,,,1.51,75,-0.975,490,52,52,19.6,19.6,
,,0.633,,,1.51,105,-0.975,617,29,29,24.68,24.68,
,,0.633,,,1.51,135,-0.975,717,39,39,28.68,28.68,
,,0.633,,,1.51,165,-0.975,721,56,56,28.84,28.84,
,,0.7,,,1.51,15,-0.975,463,353,353,18.52,18.52,
,,0.7,,,1.51,45,-0.975,552,325,325,22.08,22.08,
,,0.7,,,1.51,75,-0.975,481,84,84,19.24,19.24,
,,0.7,,,1.51,105,-0.975,584,27,27,23.36,23.36,
,,0.7,,,1.51,135,-0.975,702,38,38,28.08,28.08,
,,0.7,,,1.51,165,-0.975,680,57,57,27.2,27.2,
,,0.767,,,1.51,15,-0.975,,,,,,
,,0.767,,,1.51,45,-0.975,,,,,,
,,0.767,,,1.51,75,-0.975,1200,496,496,48,48,
,,0.767,,,1.51,105,-0.975,496,61,61,19.84,19.84,
,,0.767,,,1.51,135,-0.975,470,84,84,18.8,18.8,
,,0.767,,,1.51,165,-0.975,821,196,196,32.84,32.84,
,,0.875,,,1.51,15,-0.975,248,17,17,9.92,9.92,
,,0.875,,,1.51,45,-0.975,283,19,19,11.32,11.32,
,,0.875,,,1.51,75,-0.975,371,67,67,14.84,14.84,
,,0.875,,,1.51,105,-0.975,249,111,111,9.96,9.96,
,,0.875,,,1.51,135,-0.975,1270,552,552,50.8,50.8,
,,0.875,,,1.51,165,-0.975,876,514,514,35.04,35.04,
,,0.925,,,1.51,15,-0.975,248,19,19,9.92,9.92,
,,0.925,,,1.51,45,-0.975,285,22,22,11.4,11.4,
,,0.925,,,1.51,75,-0.975,347,28,28,13.88,13.88,
,,0.925,,,1.51,105,-0.975,441,35,35,17.64,17.64,
,,0.925,,,1.51,135,-0.975,522,81,81,20.88,20.88,
,,0.925,,,1.51,165,-0.975,495,124,124,19.8,19.8,
,,0.975,,,1.51,15,-0.975,234,29,29,9.36,9.36,
,,0.975,,,1.51,45,-0.975,301,27,27,12.04,12.04,
,,0.975,,,1.51,75,-0.975,345,20,20,13.8,13.8,
,,0.975,,,1.51,105,-0.975,441,27,27,17.64,17.64,
,,0.975,,,1.51,135,-0.975,527,73,73,21.08,21.08,
,,0.975,,,1.51,165,-0.975,478,102,102,19.12,19.12,
,,1.025,,,1.51,15,-0.975,240,33,33,9.6,9.6,
,,1.025,,,1.51,45,-0.975,252,25,25,10.08,10.08,
,,1.025,,,1.51,75,-0.975,330,19,19,13.2,13.2,
,,1.025,,,1.51,105,-0.975,428,28,28,17.12,17.12,
,,1.025,,,1.51,135,-0.975,468,81,81,18.72,18.72,
,,1.025,,,1.51,165,-0.975,574,139,139,22.96,22.96,
,,1.075,,,1.51,15,-0.975,170,27,27,6.8,6.8,
,,1.075,,,1.51,45,-0.975,266,27,27,10.64,10.64,
,,1.075,,,1.51,75,-0.975,350,22,22,14,14,
,,1.075,,,1.51,105,-0.975,320,28,28,12.8,12.8,
,,1.075,,,1.51,135,-0.975,372,55,55,14.88,14.88,
,,1.075,,,1.51,165,-0.975,431,66,66,17.24,17.24,
,,1.125,,,1.51,15,-0.975,244,53,53,9.76,9.76,
,,1.125,,,1.51,45,-0.975,185,32,32,7.4,7.4,
,,1.125,,,1.51,75,-0.975,316,28,28,12.64,12.64,
,,1.125,,,1.51,105,-0.975,391,29,29,15.64,15.64,
,,1.125,,,1.51,135,-0.975,424,25,25,16.96,16.96,
,,1.125,,,1.51,165,-0.975,529,31,31,21.16,21.16,
,,1.95,,,1.51,15,-0.975,76,38,38,3.04,3.04,
,,1.95,,,1.51,45,-0.975,115,41,41,4.6,4.6,
,,1.95,,,1.51,75,-0.975,132,30,30,5.28,5.28,
,,1.95,,,1.51,105,-0.975,84,20,20,3.36,3.36,
,,1.95,,,1.51,135,-0.975,144,28,28,5.76,5.76,
,,1.95,,,1.51,165,-0.975,199,39,39,7.96,7.96,
,,2.05,,,1.51,15,-0.975,51,15,15,2.04,2.04,
,,2.05,,,1.51,45,-0.975,96,17,17,3.84,3.84,
,,2.05,,,1.51,75,-0.975,120,13,13,4.8,4.8,
,,2.05,,,1.51,105,-0.975,146,13,13,5.84,5.84,
,,2.05,,,1.51,135,-0.975,173,18,18,6.92,6.92,
,,2.05,,,1.51,165,-0.975,169,24,24,6.76,6.76,
,,2.15,,,1.51,15,-0.975,30,12,12,1.2,1.2,
,,2.15,,,1.51,45,-0.975,79,15,15,3.16,3.16,
,,2.15,,,1.51,75,-0.975,84,13,13,3.36,3.36,
,,2.15,,,1.51,105,-0.975,116,17,17,4.64,4.64,
,,2.15,,,1.51,135,-0.975,115,30,30,4.6,4.6,
,,2.15,,,1.51,165,-0.975,197,58,58,7.88,7.88,
,,0.567,,,1.53,15,-0.975,248,53,53,9.92,9.92,
,,0.567,,,1.53,45,-0.975,409,54,54,16.36,16.36,
,,0.567,,,1.53,75,-0.975,503,34,34,20.12,20.12,
,,0.567,,,1.53,105,-0.975,580,34,34,23.2,23.2,
,,0.567,,,1.53,135,-0.975,600,70,70,24,24,
,,0.567,,,1.53,165,-0.975,406,81,81,16.24,16.24,
,,0.633,,,1.53,15,-0.975,385,79,79,15.4,15.4,
,,0.633,,,1.53,45,-0.975,499,69,69,19.96,19.96,
,,0.633,,,1.53,75,-0.975,510,30,30,20.4,20.4,
,,0.633,,,1.53,105,-0.975,578,24,24,23.12,23.12,
,,0.633,,,1.53,135,-0.975,522,45,45,20.88,20.88,
,,0.633,,,1.53,165,-0.975,557,70,70,22.28,22.28,
,,0.7,,,1.53,15,-0.975,296,120,120,11.84,11.84,
,,0.7,,,1.53,45,-0.975,336,91,91,13.44,13.44,
,,0.7,,,1.53,75,-0.975,448,38,38,17.92,17.92,
,,0.7,,,1.53,105,-0.975,561,28,28,22.44,22.44,
,,0.7,,,1.53,135,-0.975,519,55,55,20.76,20.76,
,,0.7,,,1.53,165,-0.975,519,85,85,20.76,20.76,
,,0.767,,,1.53,15,-0.975,,,,,,
,,0.767,,,1.53,45,-0.975,,,,,,
,,0.767,,,1.53,75,-0.975,384,146,146,15.36,15.36,
,,0.767,,,1.53,105,-0.975,427,76,76,17.08,17.08,
,,0.767,,,1.53,135,-0.975,441,195,195,17.64,17.64,
,,0.767,,,1.53,165,-0.975,890,506,506,35.6,35.6,
,,0.875,,,1.53,15,-0.975,311,19,19,12.44,12.44,
,,0.875,,,1.53,45,-0.975,299,22,22,11.96,11.96,
,,0.875,,,1.53,75,-0.975,409,34,34,16.36,16.36,
,,0.875,,,1.53,105,-0.975,403,52,52,16.12,16.12,
,,0.875,,,1.53,135,-0.975,291,149,149,11.64,11.64,
,,0.875,,,1.53,165,-0.975,2850,1830,1830,114,114,
,,0.925,,,1.53,15,-0.975,269,26,26,10.76,10.76,
,,0.925,,,1.53,45,-0.975,313,23,23,12.52,12.52,
,,0.925,,,1.53,75,-0.975,360,20,20,14.4,14.4,
,,0.925,,,1.53,105,-0.975,510,42,42,20.4,20.4,
,,0.925,,,1.53,135,-0.975,501,159,159,20.04,20.04,
,,0.925,,,1.53,165,-0.975,630,278,278,25.2,25.2,
,,0.975,,,1.53,15,-0.975,262,27,27,10.48,10.48,
,,0.975,,,1.53,45,-0.975,340,23,23,13.6,13.6,
,,0.975,,,1.53,75,-0.975,430,22,22,17.2,17.2,
,,0.975,,,1.53,105,-0.975,368,37,37,14.72,14.72,
,,0.975,,,1.53,135,-0.975,148,103,103,5.92,5.92,
,,0.975,,,1.53,165,-0.975,1320,806,806,52.8,52.8,
,,1.025,,,1.53,15,-0.975,285,29,29,11.4,11.4,
,,1.025,,,1.53,45,-0.975,344,24,24,13.76,13.76,
,,1.025,,,1.53,75,-0.975,365,21,21,14.6,14.6,
,,1.025,,,1.53,105,-0.975,419,44,44,16.76,16.76,
,,1.025,,,1.53,135,-0.975,229,46,46,9.16,9.16,
,,1.025,,,1.53,165,-0.975,282,56,56,11.28,11.28,
,,1.075,,,1.53,15,-0.975,357,46,46,14.28,14.28,
,,1.075,,,1.53,45,-0.975,294,28,28,11.76,11.76,
,,1.075,,,1.53,75,-0.975,358,25,25,14.32,14.32,
,,1.075,,,1.53,105,-0.975,366,23,23,14.64,14.64,
,,1.075,,,1.53,135,-0.975,407,24,24,16.28,16.28,
,,1.075,,,1.53,165,-0.975,407,29,29,16.28,16.28,
,,1.125,,,1.53,15,-0.975,175,130,130,7,7,
,,1.125,,,1.53,45,-0.975,294,91,91,11.76,11.76,
,,1.125,,,1.53,75,-0.975,339,48,48,13.56,13.56,
,,1.125,,,1.53,105,-0.975,400,22,22,16,16,
,,1.125,,,1.53,135,-0.975,392,22,22,15.68,15.68,
,,1.125,,,1.53,165,-0.975,396,29,29,15.84,15.84,
,,1.85,,,1.53,15,-0.975,1030,804,804,41.2,41.2,
,,1.85,,,1.53,45,-0.975,,,,,,
,,1.85,,,1.53,75,-0.975,514,380,380,20.56,20.56,
,,1.85,,,1.53,105,-0.975,,,,,,
,,1.85,,,1.53,135,-0.975,,,,,,
,,1.85,,,1.53,165,-0.975,,,,,,
,,1.95,,,1.53,15,-0.975,83,23,23,3.32,3.32,
,,1.95,,,1.53,45,-0.975,164,27,27,6.56,6.56,
,,1.95,,,1.53,75,-0.975,156,18,18,6.24,6.24,
,,1.95,,,1.53,105,-0.975,126,14,14,5.04,5.04,
,,1.95,,,1.53,135,-0.975,179,21,21,7.16,7.16,
,,1.95,,,1.53,165,-0.975,126,23,23,5.04,5.04,
,,2.05,,,1.53,15,-0.975,103,17,17,4.12,4.12,
,,2.05,,,1.53,45,-0.975,135,16,16,5.4,5.4,
,,2.05,,,1.53,75,-0.975,174,14,14,6.96,6.96,
,,2.05,,,1.53,105,-0.975,163,15,15,6.52,6.52,
,,2.05,,,1.53,135,-0.975,143,22,22,5.72,5.72,
,,2.05,,,1.53,165,-0.975,117,28,28,4.68,4.68,
,,2.15,,,1.53,15,-0.975,116,25,25,4.64,4.64,
,,2.15,,,1.53,45,-0.975,122,21,21,4.88,4.88,
,,2.15,,,1.53,75,-0.975,94,17,17,3.76,3.76,
,,2.15,,,1.53,105,-0.975,176,33,33,7.04,7.04,
,,2.15,,,1.53,135,-0.975,263,97,97,10.52,10.52,
,,2.15,,,1.53,165,-0.975,166,106,106,6.64,6.64,
,,0.5,,,1.55,15,-0.975,286,49,49,11.44,11.44,
,,0.5,,,1.55,45,-0.975,447,53,53,17.88,17.88,
,,0.5,,,1.55,75,-0.975,511,46,46,20.44,20.44,
,,0.5,,,1.55,105,-0.975,622,97,97,24.88,24.88,
,,0.5,,,1.55,135,-0.975,879,504,504,35.16,35.16,
,,0.5,,,1.55,165,-0.975,3240,2290,2290,129.6,129.6,
,,0.567,,,1.55,15,-0.975,328,37,37,13.12,13.12,
,,0.567,,,1.55,45,-0.975,436,32,32,17.44,17.44,
,,0.567,,,1.55,75,-0.975,503,21,21,20.12,20.12,
,,0.567,,,1.55,105,-0.975,474,30,30,18.96,18.96,
,,0.567,,,1.55,135,-0.975,273,88,88,10.92,10.92,
,,0.567,,,1.55,165,-0.975,272,124,124,10.88,10.88,
,,0.633,,,1.55,15,-0.975,278,46,46,11.12,11.12,
,,0.633,,,1.55,45,-0.975,345,38,38,13.8,13.8,
,,0.633,,,1.55,75,-0.975,480,23,23,19.2,19.2,
,,0.633,,,1.55,105,-0.975,487,28,28,19.48,19.48,
,,0.633,,,1.55,135,-0.975,306,79,79,12.24,12.24,
,,0.633,,,1.55,165,-0.975,365,117,117,14.6,14.6,
,,0.7,,,1.55,15,-0.975,62,70,70,2.48,2.48,
,,0.7,,,1.55,45,-0.975,258,83,83,10.32,10.32,
,,0.7,,,1.55,75,-0.975,427,37,37,17.08,17.08,
,,0.7,,,1.55,105,-0.975,412,39,39,16.48,16.48,
,,0.7,,,1.55,135,-0.975,193,114,114,7.72,7.72,
,,0.7,,,1.55,165,-0.975,274,169,169,10.96,10.96,
,,0.767,,,1.55,15,-0.975,,,,,,
,,0.767,,,1.55,45,-0.975,,,,,,
,,0.767,,,1.55,75,-0.975,,,,,,
,,0.767,,,1.55,105,-0.975,440,454,454,17.6,17.6,
,,0.767,,,1.55,135,-0.975,,,,,,
,,0.767,,,1.55,165,-0.975,,,,,,
,,0.875,,,1.55,15,-0.975,235,18,18,9.4,9.4,
,,0.875,,,1.55,45,-0.975,301,20,20,12.04,12.04,
,,0.875,,,1.55,75,-0.975,313,19,19,12.52,12.52,
,,0.875,,,1.55,105,-0.975,271,79,79,10.84,10.84,
,,0.875,,,1.55,135,-0.975,,,,,,
,,0.875,,,1.55,165,-0.975,,,,,,
,,0.925,,,1.55,15,-0.975,237,20,20,9.48,9.48,
,,0.925,,,1.55,45,-0.975,312,19,19,12.48,12.48,
,,0.925,,,1.55,75,-0.975,403,23,23,16.12,16.12,
,,0.925,,,1.55,105,-0.975,133,57,57,5.32,5.32,
,,0.925,,,1.55,135,-0.975,,,,,,
,,0.925,,,1.55,165,-0.975,,,,,,
,,0.975,,,1.55,15,-0.975,272,22,22,10.88,10.88,
,,0.975,,,1.55,45,-0.975,334,20,20,13.36,13.36,
,,0.975,,,1.55,75,-0.975,387,24,24,15.48,15.48,
,,0.975,,,1.55,105,-0.975,339,58,58,13.56,13.56,
,,0.975,,,1.55,135,-0.975,286,60,60,11.44,11.44,
,,0.975,,,1.55,165,-0.975,302,72,72,12.08,12.08,
,,1.025,,,1.55,15,-0.975,306,30,30,12.24,12.24,
,,1.025,,,1.55,45,-0.975,358,24,24,14.32,14.32,
,,1.025,,,1.55,75,-0.975,328,21,21,13.12,13.12,
,,1.025,,,1.55,105,-0.975,318,20,20,12.72,12.72,
,,1.025,,,1.55,135,-0.975,361,25,25,14.44,14.44,
,,1.025,,,1.55,165,-0.975,225,24,24,9,9,
,,1.075,,,1.55,15,-0.975,277,71,71,11.08,11.08,
,,1.075,,,1.55,45,-0.975,244,42,42,9.76,9.76,
,,1.075,,,1.55,75,-0.975,336,27,27,13.44,13.44,
